"Country","Time","Category","Continent"
"RSA",134.45,"Mass","Africa"
"GBR",134.983333333333,"Mass","Europe"
"GER",135.7,"Mass","Europe"
"IRL",136.566666666667,"Mass","Europe"
"GBR",137.033333333333,"Mass","Europe"
"AUS",137.283333333333,"Mass","Oceania"
"RSA",137.566666666667,"Mass","Africa"
"JPN",138.683333333333,"Mass","Asia"
"GBR",138.766666666667,"Mass","Europe"
"GBR",139.166666666667,"Mass","Europe"
"GBR",139.216666666667,"Mass","Europe"
"GBR",139.316666666667,"Mass","Europe"
"IRL",139.366666666667,"Mass","Europe"
"GBR",139.4,"Mass","Europe"
"GBR",139.933333333333,"Mass","Europe"
"GBR",140.366666666667,"Mass","Europe"
"GBR",140.933333333333,"Mass","Europe"
"GBR",141.183333333333,"Mass","Europe"
"FIN",141.3,"Mass","Europe"
"GBR",142.216666666667,"Mass","Europe"
"GBR",142.45,"Mass","Europe"
"GBR",142.483333333333,"Mass","Europe"
"NEP",142.516666666667,"Mass","Asia"
"GBR",142.633333333333,"Mass","Europe"
"GBR",142.733333333333,"Mass","Europe"
"GBR",142.766666666667,"Mass","Europe"
"GBR",142.816666666667,"Mass","Europe"
"GBR",143.05,"Mass","Europe"
"SUI",143.15,"Mass","Europe"
"GBR",143.166666666667,"Mass","Europe"
"GBR",143.283333333333,"Mass","Europe"
"GBR",143.3,"Mass","Europe"
"GBR",143.316666666667,"Mass","Europe"
"CRC",143.333333333333,"Mass","Americas"
"GBR",143.516666666667,"Mass","Europe"
"GBR",143.533333333333,"Mass","Europe"
"GBR",143.55,"Mass","Europe"
"GBR",143.766666666667,"Mass","Europe"
"GBR",143.916666666667,"Mass","Europe"
"GBR",144.066666666667,"Mass","Europe"
"SIN",144.116666666667,"Mass","Asia"
"CHA",144.233333333333,"Mass","Africa"
"GBR",144.233333333333,"Mass","Europe"
"GBR",144.366666666667,"Mass","Europe"
"GBR",144.4,"Mass","Europe"
"HKG",144.45,"Mass","Asia"
"RSA",144.516666666667,"Mass","Africa"
"GBR",144.583333333333,"Mass","Europe"
"GBR",144.616666666667,"Mass","Europe"
"USA",144.666666666667,"Mass","Americas"
"GBR",144.683333333333,"Mass","Europe"
"GBR",144.7,"Mass","Europe"
"NZL",144.7,"Mass","Oceania"
"GBR",144.766666666667,"Mass","Europe"
"GBR",144.816666666667,"Mass","Europe"
"GBR",144.933333333333,"Mass","Europe"
"FRA",145,"Mass","Europe"
"GBR",145.133333333333,"Mass","Europe"
"USA",145.2,"Mass","Americas"
"GBR",145.25,"Mass","Europe"
"GBR",145.283333333333,"Mass","Europe"
"GBR",145.333333333333,"Mass","Europe"
"GBR",145.35,"Mass","Europe"
"GBR",145.466666666667,"Mass","Europe"
"GBR",145.483333333333,"Mass","Europe"
"GBR",145.6,"Mass","Europe"
"IRL",145.6,"Mass","Europe"
"DEN",145.616666666667,"Mass","Europe"
"GBR",145.616666666667,"Mass","Europe"
"GBR",145.616666666667,"Mass","Europe"
"GBR",145.633333333333,"Mass","Europe"
"GBR",145.766666666667,"Mass","Europe"
"GBR",145.783333333333,"Mass","Europe"
"GBR",145.916666666667,"Mass","Europe"
"GBR",146.033333333333,"Mass","Europe"
"GBR",146.05,"Mass","Europe"
"GBR",146.133333333333,"Mass","Europe"
"GBR",146.166666666667,"Mass","Europe"
"GBR",146.233333333333,"Mass","Europe"
"GBR",146.233333333333,"Mass","Europe"
"GBR",146.233333333333,"Mass","Europe"
"GBR",146.266666666667,"Mass","Europe"
"IRL",146.3,"Mass","Europe"
"HUN",146.3,"Mass","Europe"
"GBR",146.55,"Mass","Europe"
"GBR",146.55,"Mass","Europe"
"GBR",146.55,"Mass","Europe"
"GBR",146.683333333333,"Mass","Europe"
"FRA",146.75,"Mass","Europe"
"GBR",146.766666666667,"Mass","Europe"
"GBR",146.883333333333,"Mass","Europe"
"USA",146.916666666667,"Mass","Americas"
"GBR",146.95,"Mass","Europe"
"GBR",147.066666666667,"Mass","Europe"
"GBR",147.116666666667,"Mass","Europe"
"GER",147.183333333333,"Mass","Europe"
"GBR",147.2,"Mass","Europe"
"GBR",147.2,"Mass","Europe"
"GBR",147.266666666667,"Mass","Europe"
"GBR",147.3,"Mass","Europe"
"GBR",147.4,"Mass","Europe"
"GBR",147.433333333333,"Mass","Europe"
"GBR",147.45,"Mass","Europe"
"GBR",147.566666666667,"Mass","Europe"
"GBR",147.583333333333,"Mass","Europe"
"GBR",147.616666666667,"Mass","Europe"
"GBR",147.683333333333,"Mass","Europe"
"GBR",147.7,"Mass","Europe"
"GBR",147.733333333333,"Mass","Europe"
"GBR",147.833333333333,"Mass","Europe"
"FRA",147.85,"Mass","Europe"
"GBR",148.016666666667,"Mass","Europe"
"GBR",148.066666666667,"Mass","Europe"
"BRA",148.066666666667,"Mass","Americas"
"GBR",148.15,"Mass","Europe"
"GBR",148.183333333333,"Mass","Europe"
"GBR",148.183333333333,"Mass","Europe"
"GBR",148.183333333333,"Mass","Europe"
"USA",148.233333333333,"Mass","Americas"
"GBR",148.316666666667,"Mass","Europe"
"GBR",148.316666666667,"Mass","Europe"
"GBR",148.316666666667,"Mass","Europe"
"GBR",148.316666666667,"Mass","Europe"
"GBR",148.366666666667,"Mass","Europe"
"GBR",148.383333333333,"Mass","Europe"
"POL",148.533333333333,"Mass","Europe"
"GBR",148.566666666667,"Mass","Europe"
"GER",148.583333333333,"Mass","Europe"
"RSA",148.583333333333,"Mass","Africa"
"GBR",148.633333333333,"Mass","Europe"
"SUI",148.666666666667,"Mass","Europe"
"GBR",148.683333333333,"Mass","Europe"
"GBR",148.683333333333,"Mass","Europe"
"GBR",148.716666666667,"Mass","Europe"
"GBR",148.716666666667,"Mass","Europe"
"GBR",148.766666666667,"Mass","Europe"
"GBR",148.783333333333,"Mass","Europe"
"GBR",148.783333333333,"Mass","Europe"
"GBR",148.783333333333,"Mass","Europe"
"GBR",148.816666666667,"Mass","Europe"
"GBR",148.833333333333,"Mass","Europe"
"THA",148.883333333333,"Mass","Asia"
"GBR",148.933333333333,"Mass","Europe"
"GBR",148.933333333333,"Mass","Europe"
"GBR",149.016666666667,"Mass","Europe"
"GBR",149.016666666667,"Mass","Europe"
"POL",149.05,"Mass","Europe"
"IRL",149.05,"Mass","Europe"
"GBR",149.133333333333,"Mass","Europe"
"GBR",149.133333333333,"Mass","Europe"
"AUS",149.133333333333,"Mass","Oceania"
"GBR",149.2,"Mass","Europe"
"GBR",149.316666666667,"Mass","Europe"
"GBR",149.333333333333,"Mass","Europe"
"GBR",149.35,"Mass","Europe"
"GBR",149.366666666667,"Mass","Europe"
"GBR",149.383333333333,"Mass","Europe"
"GBR",149.4,"Mass","Europe"
"GBR",149.416666666667,"Mass","Europe"
"GBR",149.45,"Mass","Europe"
"IRL",149.5,"Mass","Europe"
"GBR",149.5,"Mass","Europe"
"GBR",149.566666666667,"Mass","Europe"
"GBR",149.566666666667,"Mass","Europe"
"USA",149.6,"Mass","Americas"
"GBR",149.6,"Mass","Europe"
"GBR",149.633333333333,"Mass","Europe"
"GBR",149.65,"Mass","Europe"
"GBR",149.683333333333,"Mass","Europe"
"GBR",149.75,"Mass","Europe"
"GBR",149.766666666667,"Mass","Europe"
"GBR",149.783333333333,"Mass","Europe"
"GBR",149.816666666667,"Mass","Europe"
"GBR",149.816666666667,"Mass","Europe"
"GBR",149.85,"Mass","Europe"
"GBR",149.85,"Mass","Europe"
"GER",149.866666666667,"Mass","Europe"
"GBR",149.883333333333,"Mass","Europe"
"IRL",149.9,"Mass","Europe"
"GBR",149.916666666667,"Mass","Europe"
"USA",150.033333333333,"Mass","Americas"
"GBR",150.066666666667,"Mass","Europe"
"USA",150.066666666667,"Mass","Americas"
"GBR",150.066666666667,"Mass","Europe"
